date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:11:07	111036/111036	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202024%2011:33:32%20GMT	https://html.themeholy.com/realar/demo/index.html	E:/SHIVANI/realestate/realar/Realar/html.themeholy.com/realar/demo/index.html	(from )
18:11:08	1251/1251	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2023%20Aug%202024%2012:41:12%20GMT	https://html.themeholy.com/robots.txt		(from )
18:11:08	1800/1800	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Jun%202024%2011:33:34%20GMT	https://html.themeholy.com/realar/demo/assets/img/favicons/apple-icon-57x57.png	E:/SHIVANI/realestate/realar/Realar/html.themeholy.com/realar/demo/assets/img/favicons/apple-icon-57x57.png	(from https://html.themeholy.com/realar/demo/index.html)
18:11:09	1868/1868	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Jun%202024%2011:33:34%20GMT	https://html.themeholy.com/realar/demo/assets/img/favicons/apple-icon-60x60.png	E:/SHIVANI/realestate/realar/Realar/html.themeholy.com/realar/demo/assets/img/favicons/apple-icon-60x60.png	(from https://html.themeholy.com/realar/demo/index.html)
18:11:10	1836/1836	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Jun%202024%2011:33:34%20GMT	https://html.themeholy.com/realar/demo/assets/img/favicons/apple-icon-72x72.png	E:/SHIVANI/realestate/realar/Realar/html.themeholy.com/realar/demo/assets/img/favicons/apple-icon-72x72.png	(from https://html.themeholy.com/realar/demo/index.html)
18:11:10	1895/1895	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Jun%202024%2011:33:34%20GMT	https://html.themeholy.com/realar/demo/assets/img/favicons/apple-icon-76x76.png	E:/SHIVANI/realestate/realar/Realar/html.themeholy.com/realar/demo/assets/img/favicons/apple-icon-76x76.png	(from https://html.themeholy.com/realar/demo/index.html)
18:11:10	2774/2774	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Jun%202024%2011:33:34%20GMT	https://html.themeholy.com/realar/demo/assets/img/favicons/apple-icon-114x114.png	E:/SHIVANI/realestate/realar/Realar/html.themeholy.com/realar/demo/assets/img/favicons/apple-icon-114x114.png	(from https://html.themeholy.com/realar/demo/index.html)
18:11:10	2936/2936	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Jun%202024%2011:33:34%20GMT	https://html.themeholy.com/realar/demo/assets/img/favicons/apple-icon-120x120.png	E:/SHIVANI/realestate/realar/Realar/html.themeholy.com/realar/demo/assets/img/favicons/apple-icon-120x120.png	(from https://html.themeholy.com/realar/demo/index.html)
18:11:11	3585/3585	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Jun%202024%2011:33:34%20GMT	https://html.themeholy.com/realar/demo/assets/img/favicons/apple-icon-144x144.png	E:/SHIVANI/realestate/realar/Realar/html.themeholy.com/realar/demo/assets/img/favicons/apple-icon-144x144.png	(from https://html.themeholy.com/realar/demo/index.html)
18:11:11	3840/3840	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Jun%202024%2011:33:34%20GMT	https://html.themeholy.com/realar/demo/assets/img/favicons/apple-icon-152x152.png	E:/SHIVANI/realestate/realar/Realar/html.themeholy.com/realar/demo/assets/img/favicons/apple-icon-152x152.png	(from https://html.themeholy.com/realar/demo/index.html)
18:11:11	4665/4665	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Jun%202024%2011:33:34%20GMT	https://html.themeholy.com/realar/demo/assets/img/favicons/apple-icon-180x180.png	E:/SHIVANI/realestate/realar/Realar/html.themeholy.com/realar/demo/assets/img/favicons/apple-icon-180x180.png	(from https://html.themeholy.com/realar/demo/index.html)
18:11:12	4054/4054	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Jun%202024%2011:33:34%20GMT	https://html.themeholy.com/realar/demo/assets/img/favicons/android-icon-192x192.png	E:/SHIVANI/realestate/realar/Realar/html.themeholy.com/realar/demo/assets/img/favicons/android-icon-192x192.png	(from https://html.themeholy.com/realar/demo/index.html)
18:11:12	1085/1085	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Jun%202024%2011:33:34%20GMT	https://html.themeholy.com/realar/demo/assets/img/favicons/favicon-32x32.png	E:/SHIVANI/realestate/realar/Realar/html.themeholy.com/realar/demo/assets/img/favicons/favicon-32x32.png	(from https://html.themeholy.com/realar/demo/index.html)
18:11:12	2348/2348	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Jun%202024%2011:33:34%20GMT	https://html.themeholy.com/realar/demo/assets/img/favicons/favicon-96x96.png	E:/SHIVANI/realestate/realar/Realar/html.themeholy.com/realar/demo/assets/img/favicons/favicon-96x96.png	(from https://html.themeholy.com/realar/demo/index.html)
18:11:13	565/565	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Jun%202024%2011:33:34%20GMT	https://html.themeholy.com/realar/demo/assets/img/favicons/favicon-16x16.png	E:/SHIVANI/realestate/realar/Realar/html.themeholy.com/realar/demo/assets/img/favicons/favicon-16x16.png	(from https://html.themeholy.com/realar/demo/index.html)
18:11:13	720/720	---M-Z	200	added ('OK')	application/json	date:Thu,%2013%20Jun%202024%2011:33:34%20GMT	https://html.themeholy.com/realar/demo/assets/img/favicons/manifest.json	E:/SHIVANI/realestate/realar/Realar/html.themeholy.com/realar/demo/assets/img/favicons/manifest.json	(from https://html.themeholy.com/realar/demo/index.html)
18:11:13	3585/3585	---M--	200	added ('OK')	image/png	date:Thu,%2013%20Jun%202024%2011:33:34%20GMT	https://html.themeholy.com/realar/demo/assets/img/favicons/ms-icon-144x144.png	E:/SHIVANI/realestate/realar/Realar/html.themeholy.com/realar/demo/assets/img/favicons/ms-icon-144x144.png	(from https://html.themeholy.com/realar/demo/index.html)
18:11:14	194246/194246	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Jun%202024%2011:33:32%20GMT	https://html.themeholy.com/realar/demo/assets/css/bootstrap.min.css	E:/SHIVANI/realestate/realar/Realar/html.themeholy.com/realar/demo/assets/css/bootstrap.min.css	(from https://html.themeholy.com/realar/demo/index.html)
18:11:15	5272/5272	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Jun%202024%2011:33:32%20GMT	https://html.themeholy.com/realar/demo/assets/css/magnific-popup.min.css	E:/SHIVANI/realestate/realar/Realar/html.themeholy.com/realar/demo/assets/css/magnific-popup.min.css	(from https://html.themeholy.com/realar/demo/index.html)
18:11:15	454857/454857	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Jun%202024%2011:33:32%20GMT	https://html.themeholy.com/realar/demo/assets/css/fontawesome.min.css	E:/SHIVANI/realestate/realar/Realar/html.themeholy.com/realar/demo/assets/css/fontawesome.min.css	(from https://html.themeholy.com/realar/demo/index.html)
18:11:16	22140/22140	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Jun%202024%2011:33:32%20GMT	https://html.themeholy.com/realar/demo/assets/css/swiper-bundle.min.css	E:/SHIVANI/realestate/realar/Realar/html.themeholy.com/realar/demo/assets/css/swiper-bundle.min.css	(from https://html.themeholy.com/realar/demo/index.html)
18:11:16	405849/405849	---M-Z	200	added ('OK')	text/css	date:Thu,%2013%20Jun%202024%2011:33:32%20GMT	https://html.themeholy.com/realar/demo/assets/css/style.css	E:/SHIVANI/realestate/realar/Realar/html.themeholy.com/realar/demo/assets/css/style.css	(from https://html.themeholy.com/realar/demo/index.html)
18:11:16	20055/20055	---M-Z	200	added ('OK')	image/svg+xml	date:Thu,%2013%20Jun%202024%2011:33:34%20GMT	https://html.themeholy.com/realar/demo/assets/img/logo-white.svg	E:/SHIVANI/realestate/realar/Realar/html.themeholy.com/realar/demo/assets/img/logo-white.svg	(from https://html.themeholy.com/realar/demo/index.html)
18:11:17	117001/117001	---M-Z	200	added ('OK')	text/html	date:Thu,%2013%20Jun%202024%2011:33:32%20GMT	https://html.themeholy.com/realar/demo/home-2.html	E:/SHIVANI/realestate/realar/Realar/html.themeholy.com/realar/demo/home-2.html	(from https://html.themeholy.com/realar/demo/index.html)
